0,1,2
#9a672b,#1b1d1c,#ddca75
#6e6691,#b8bed3,#1a1616
#958389,#793932,#bfbdc2
#91625c,#3c2541,#d6ad96
#9c211d,#bc9b7f,#f3f2f2
#ac873a,#d4d0aa,#2a1e0f
#456d93,#d1cec5,#222b36
#676160,#ddcc4a,#0f0a0c
#f4edd8,#3b3d39,#aca18d
#b99843,#f8f8f6,#0d0b03
#2d484c,#d7e5e1,#92876d
#d35e5a,#514174,#242232
#f2ece7,#3e3e50,#c07563
#352d25,#b5b7a5,#7d7b6b
#6b8788,#d2e4de,#1d2d36
#7e9391,#ddecf3,#0f1f17
#140101,#ea2d0e,#940604
#1d1618,#72554c,#c0b4ae
#e54823,#b9858f,#281722
#0b0a09,#423a31,#a29888
#763726,#1b0808,#d1a34d
#ece7e9,#141011,#936e76
#896f48,#dcd7c4,#1c110c
#b6bcc8,#2a2e36,#646f7f
#dbe4e7,#99a4a9,#462a2d
#2a2012,#765a31,#cda437
#921e21,#dda040,#f4f0e5
#48461a,#030402,#e4db9e
#21557d,#7eb7d3,#050a1c
#141313,#6a5d4b,#debb86
#e4e4e2,#a9a2a1,#73363e
#db2133,#e4bd9f,#2b1d1c
#a42c20,#dadad0,#46aa8e
#704844,#d2b59d,#170d16
#b5b0ab,#100f0f,#615b55
#151e16,#4b6140,#cebc83
#477171,#162934,#bab294
#53597a,#e5d2ab,#17182a
#524547,#d1ded6,#b69268
#26170c,#786c63,#c4ab8f
#080d16,#51e4c7,#315d8d
#314b5e,#a7a4a6,#0d1213
#462f40,#151214,#c6b0ac
#eee6c7,#2b1206,#a9752b
#c0b5ad,#786d67,#141a20
#2b1f2c,#9c5b5c,#e7e4e6
#5e6f4b,#b9bdab,#1c1d1d
0,0,0
#3d8fae,#bba275,#372d21
#f8d3ad,#c36c45,#1e1215
#81b7b2,#d1b115,#43342d
#d17a6d,#faf7f6,#372a2f
#d27f0e,#7d1b04,#100201
#b8b6b3,#5c595e,#191a2a
#b78673,#b5ddec,#5e2a22
#70675e,#110f10,#f8f7f6
#d2c1af,#5c483f,#0a0606
#080808,#84776a,#fbfbfa
0,0,0
#302a2d,#f7f7f7,#ada3a1
#929a60,#89c0e4,#404e2c
#192310,#bbcd9b,#5c7644
#f5f4ea,#b09364,#431d19
#cdc6b2,#81918f,#25231d
#bbbabd,#030303,#6d4048
#a88f8d,#ae0003,#180605
#fcfcfc,#2f2c2e,#cca384
#140f0c,#4e3e32,#9b806a
#c6b7b8,#0c0917,#444379
#784e2d,#261b11,#d9b38c
#1f4762,#1e1b17,#a98d6b
#5f3030,#ba7238,#d7caaf
#8c2710,#da813c,#fbf8f4
